series_count,max_series,seed,step,runtime_seconds,memory_mb
3000,3000,42,load_and_merge,17.272264207946137,1459.109375
3000,3000,42,prepare_features,21.699217375018634,2185.46875
3000,3000,42,XGBoost baseline,47.781154082971625,2343.734375
3000,3000,42,TimeMixer only,211.72686733398587,2343.734375
3000,3000,42,Hybrid TimeMixer + XGBoost,309.220191334025,2343.734375
3000,3000,42,Hybrid + Stability Objective (lambda=0.05),398.9080224999925,2343.734375
3000,3000,123,load_and_merge,18.095064042019658,2343.734375
3000,3000,123,prepare_features,20.562318457989022,2455.875
3000,3000,123,XGBoost baseline,40.49086395895574,2893.421875
3000,3000,123,TimeMixer only,171.56928116595373,2893.421875
3000,3000,123,Hybrid TimeMixer + XGBoost,231.94792041601613,2893.421875
3000,3000,123,Hybrid + Stability Objective (lambda=0.05),328.5019261239795,2893.421875
3000,3000,2024,load_and_merge,18.63956383301411,2893.421875
3000,3000,2024,prepare_features,22.078622541972436,2893.421875
3000,3000,2024,XGBoost baseline,49.03661212499719,2893.421875
3000,3000,2024,TimeMixer only,178.49332383309957,2893.421875
3000,3000,2024,Hybrid TimeMixer + XGBoost,266.7072808330413,2893.421875
3000,3000,2024,Hybrid + Stability Objective (lambda=0.05),331.50654316612054,2893.421875
