series_count,max_series,seed,step,runtime_seconds,memory_mb
1000,1000,42,load_and_merge,9.540182875003666,1019.828125
1000,1000,42,prepare_features,6.969530500005931,1231.640625
1000,1000,42,XGBoost baseline,10.821932999999262,2735.890625
1000,1000,42,TimeMixer only,22.328279749955982,2735.890625
1000,1000,42,Hybrid TimeMixer + XGBoost,37.36888129194267,2735.890625
1000,1000,42,Hybrid + Stability Objective (lambda=0.05),91.43804658402223,2735.890625
1000,1000,123,load_and_merge,11.955458624986932,2735.890625
1000,1000,123,prepare_features,8.492286500055343,2735.890625
1000,1000,123,XGBoost baseline,23.880758958985098,2735.890625
1000,1000,123,TimeMixer only,30.20109520794358,2735.890625
1000,1000,123,Hybrid TimeMixer + XGBoost,56.817923333030194,2735.890625
1000,1000,123,Hybrid + Stability Objective (lambda=0.05),71.90617316600401,2735.890625
1000,1000,2024,load_and_merge,11.16373512498103,2735.890625
1000,1000,2024,prepare_features,6.1694300409872085,2735.890625
1000,1000,2024,XGBoost baseline,17.213885625009425,3147.359375
1000,1000,2024,TimeMixer only,29.188404125045054,3147.359375
1000,1000,2024,Hybrid TimeMixer + XGBoost,49.531217833049595,3147.359375
1000,1000,2024,Hybrid + Stability Objective (lambda=0.05),64.36976470798254,3147.359375
