series_count,method,comparison_group,base_family,alpha,mae_mean,mae_std,rmse_mean,rmse_std,wape_mean,wape_std,fss_mean,fss_std,normalized_fss_mean,normalized_fss_std,forecast_volatility_mean,forecast_volatility_std,total_runtime_seconds_mean,total_runtime_seconds_std,num_runs
1000,XGBoost,core,XGBoost,,0.9264302409075587,0.03379607971964253,1.77397142542491,0.18454092378139342,70.01893629745271,4.816182440425903,0.22026678022958324,0.027690540205199815,650.1936537244788,184.92463335289622,0.3133600358199072,0.04307805372510744,10.233330708307525,0.6323291508004623,3
1000,TimeMixer only,core,TimeMixer,,0.9702198801033997,0.04368752682622358,1.929892372945109,0.31573317442174975,73.27867382700794,4.297910531307527,0.3472384541805778,0.07629331381959017,1016.699898963434,331.5286660451252,0.3906446673132195,0.07303392789104278,19.449223611348618,2.022973783869203,3
1000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.9264313692240975,0.03376798136163027,1.7808646632683522,0.1983157271588118,70.01626711404491,4.759022908005795,0.22178749550089993,0.02971639252645984,645.837022361268,149.6465021125516,0.31505807598832253,0.04371513112269643,33.791447680676356,1.7714679997583105,3
1000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.9273232846924748,0.03456704262581028,1.786666344534351,0.20799993083372312,70.0799519484837,4.713343419947276,0.20504474716498686,0.029540380810358976,388.7221661868394,113.76292153941833,0.3015476802270685,0.041909241092473695,44.40437755601791,2.821469597393307,3
3000,XGBoost,core,XGBoost,,0.9526142420109028,0.006303758189382337,1.8521405498615424,0.08120964639933055,69.81299789563457,1.4721159964490493,0.22792539834223077,0.0070171526374879995,687.3629996027653,120.77074787392421,0.32553425344442805,0.011905843159686489,47.967691805330105,2.815926075976505,3
3000,TimeMixer only,core,TimeMixer,,0.9932433842152927,0.01225051999494059,2.002202598932785,0.1230026880221353,72.78568599458879,1.37348107221064,0.40057262793698906,0.039721515757718796,931.8580456738309,252.50638038145834,0.4392461663615022,0.027493041487699824,195.83387993062692,8.158824438148901,3
3000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.9529716000293774,0.006591487706448018,1.8502542346302322,0.07839623003069845,69.83852757437914,1.4321878871389682,0.22945991533762525,0.007639366598255434,669.593081300735,86.73990680165339,0.32774201249936463,0.012520971445556946,285.73419159732293,17.270218208040024,3
3000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.953966815216945,0.00674379594039708,1.8541076772271765,0.08224908789031798,69.91174063509152,1.4575670440214548,0.21320186317831394,0.008272350312542361,373.53144350026514,56.13420763138269,0.3155965667527057,0.011671482887330482,348.1793530976477,9.63868806022947,3
4000,XGBoost,core,XGBoost,,0.9553884652091048,0.01303351358718523,1.8761379403264495,0.011909715197074565,69.53367363579501,1.0034129054180776,0.23216622583859894,0.006554286098598868,650.0694467336089,121.5406528439051,0.330824168851391,0.006297286662020087,73.47753459700228,8.711323336405004,3
4000,TimeMixer only,core,TimeMixer,,0.9976424745151711,0.019495342067817292,2.013221168054074,0.03875022165693995,72.60636125549114,1.2573354668959902,0.350280638882031,0.02766832959881383,868.7210199468649,194.80385326602033,0.3990731179769577,0.03191271640197855,246.90600361092947,5.981164364557788,3
4000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.9559272935925502,0.012102576230572258,1.8814235361946465,0.01212464716740916,69.57303067556062,0.9547700032844793,0.23141667663024665,0.005043684103805732,664.568181969442,136.17211759655243,0.33035986485649876,0.005027334447793725,379.51944708327454,23.194039442491686,3
4000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.9560250480193372,0.012423794585996042,1.8795185420624305,0.014859454834059638,69.57997934259062,0.9587562899420807,0.214232305572832,0.006129546468271615,377.51957933911916,73.65884938570282,0.31791450868906007,0.007378975695175233,470.60169055561227,17.49611454437709,3
1000,Hybrid + Smoothing (best alpha=0.5),best_smoothing,Hybrid,0.5,0.9334948466473127,0.036964946782662315,1.815297893596196,0.22315459139868396,70.5335541083335,4.55479563805386,0.11632153428336096,0.015173902941736837,423.3517367987015,94.74906434323805,0.23414677516920554,0.03286544205374385,33.89662988899121,1.7802728662958287,3
1000,XGBoost + Smoothing (best alpha=0.5),best_smoothing,XGBoost,0.5,0.9336238621056895,0.03748644366492535,1.8121308702171615,0.21716732521012383,70.54267649367335,4.562718266555431,0.1155781120165178,0.01452030944198421,448.9820094971412,132.8887288467564,0.23272100621247593,0.03316288642014957,10.356379958296506,0.650472690055337,3
