series_count,method,comparison_group,base_family,alpha,fss_mean,fss_std,normalized_fss_mean,normalized_fss_std,forecast_volatility_mean,forecast_volatility_std,rmse_mean,rmse_std,num_runs
1000,XGBoost,core,XGBoost,,0.22026678022958324,0.027690540205199815,650.1936537244788,184.92463335289622,0.3133600358199072,0.04307805372510744,1.77397142542491,0.18454092378139342,3
1000,TimeMixer only,core,TimeMixer,,0.3472384541805778,0.07629331381959017,1016.699898963434,331.5286660451252,0.3906446673132195,0.07303392789104278,1.929892372945109,0.31573317442174975,3
1000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.22178749550089993,0.02971639252645984,645.837022361268,149.6465021125516,0.31505807598832253,0.04371513112269643,1.7808646632683522,0.1983157271588118,3
1000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.20504474716498686,0.029540380810358976,388.7221661868394,113.76292153941833,0.3015476802270685,0.041909241092473695,1.786666344534351,0.20799993083372312,3
3000,XGBoost,core,XGBoost,,0.22792539834223077,0.0070171526374879995,687.3629996027653,120.77074787392421,0.32553425344442805,0.011905843159686489,1.8521405498615424,0.08120964639933055,3
3000,TimeMixer only,core,TimeMixer,,0.40057262793698906,0.039721515757718796,931.8580456738309,252.50638038145834,0.4392461663615022,0.027493041487699824,2.002202598932785,0.1230026880221353,3
3000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.22945991533762525,0.007639366598255434,669.593081300735,86.73990680165339,0.32774201249936463,0.012520971445556946,1.8502542346302322,0.07839623003069845,3
3000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.21320186317831394,0.008272350312542361,373.53144350026514,56.13420763138269,0.3155965667527057,0.011671482887330482,1.8541076772271765,0.08224908789031798,3
4000,XGBoost,core,XGBoost,,0.23216622583859894,0.006554286098598868,650.0694467336089,121.5406528439051,0.330824168851391,0.006297286662020087,1.8761379403264495,0.011909715197074565,3
4000,TimeMixer only,core,TimeMixer,,0.350280638882031,0.02766832959881383,868.7210199468649,194.80385326602033,0.3990731179769577,0.03191271640197855,2.013221168054074,0.03875022165693995,3
4000,Hybrid TimeMixer + XGBoost,core,Hybrid,,0.23141667663024665,0.005043684103805732,664.568181969442,136.17211759655243,0.33035986485649876,0.005027334447793725,1.8814235361946465,0.01212464716740916,3
4000,Hybrid + Stability-Aware Objective,core,Hybrid,,0.214232305572832,0.006129546468271615,377.51957933911916,73.65884938570282,0.31791450868906007,0.007378975695175233,1.8795185420624305,0.014859454834059638,3
1000,Hybrid + Smoothing (best alpha=0.5),best_smoothing,Hybrid,0.5,0.11632153428336096,0.015173902941736837,423.3517367987015,94.74906434323805,0.23414677516920554,0.03286544205374385,1.815297893596196,0.22315459139868396,3
1000,XGBoost + Smoothing (best alpha=0.5),best_smoothing,XGBoost,0.5,0.1155781120165178,0.01452030944198421,448.9820094971412,132.8887288467564,0.23272100621247593,0.03316288642014957,1.8121308702171615,0.21716732521012383,3
3000,Hybrid + Smoothing (best alpha=0.5),best_smoothing,Hybrid,0.5,0.11908087907536728,0.004044969998515407,437.3307602017638,49.96516398575269,0.24586500555206356,0.00993799824566545,1.882880685418287,0.08678344178613716,3
3000,XGBoost + Smoothing (best alpha=0.5),best_smoothing,XGBoost,0.5,0.1182548837750047,0.003905348412086913,452.0958888710898,90.31934277489582,0.24430780602961644,0.009509911493102988,1.8868633534949868,0.09039946562411592,3
4000,Hybrid + Smoothing (best alpha=0.5),best_smoothing,Hybrid,0.5,0.12028691103534334,0.003110470463706487,423.2559003881988,90.12256620150205,0.24762980140483815,0.001887757748384528,1.9166199877793868,0.020777006589507537,3
4000,XGBoost + Smoothing (best alpha=0.5),best_smoothing,XGBoost,0.5,0.12057390143331066,0.003707814898440027,416.88333749147,74.64346865254693,0.2477009488437785,0.002823494060393626,1.9113532790511092,0.015837940084316705,3
