series_count,method,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,fss_mean,fss_std,forecast_volatility_mean,forecast_volatility_std,runtime_seconds_mean,runtime_seconds_std,relative_stability_improvement_pct_mean,relative_stability_improvement_pct_std,relative_rmse_change_pct_mean,relative_rmse_change_pct_std,num_runs
1000,XGBoost baseline,0.8896397018871859,0.0,1.606619815249603,0.0,30467871.69016647,0.0,0.1955472628118328,0.0,0.2759319116777112,0.0,9.823413750040343,0.0,0.0,0.0,0.0,0.0,1
1000,TimeMixer only,0.9311176295734104,0.0,1.6939421202427338,0.0,32832782.250611264,0.0,0.2682765269447204,0.0,0.3115490715429367,0.0,20.09554691601079,0.0,-37.19267817257665,0.0,5.435156728697794,0.0,1
1000,Hybrid TimeMixer + XGBoost,0.890621831789354,0.0,1.607900335772474,0.0,30579832.451422468,0.0,0.1953387091445598,0.0,0.2784380127432874,0.0,32.102304625092074,0.0,0.1066512843361117,0.0,0.0797027716648717,0.0,1
1000,Hybrid + Stability Objective (lambda=0.05),0.8906050298604689,0.0,1.6060138831446318,0.0,30599100.48202153,0.0,0.1801585150133383,0.0,0.2662641558572225,0.0,48.66880404110998,0.0,7.869579751316934,0.0,-0.0377147162769828,0.0,1
3000,XGBoost baseline,0.946545006914462,0.0,1.8095986147417888,0.0,31432860.47890366,0.0,0.2258131918019576,0.0,0.3205251847833337,0.0,66.34239204204641,0.0,0.0,0.0,0.0,0.0,1
3000,TimeMixer only,0.98002299631598,0.0,1.962449595064964,0.0,30210532.284204543,0.0,0.3887179351347236,0.0,0.4155672906932104,0.0,229.6825061250711,0.0,-72.14137581281632,0.0,8.446678676585169,0.0,1
3000,Hybrid TimeMixer + XGBoost,0.9470629470015552,0.0,1.8131685317485011,0.0,31389450.088590935,0.0,0.2281307923434493,0.0,0.3248944684413798,0.0,336.19996933301445,0.0,-1.026335318586832,0.0,0.1972767318470848,0.0,1
3000,Hybrid + Stability Objective (lambda=0.05),0.947337130199194,0.0,1.8111801212812515,0.0,31461175.11897417,0.0,0.2120532957477941,0.0,0.3134585075094716,0.0,452.23162025003694,0.0,6.093486365593362,0.0,0.0873954326986905,0.0,1
5000,XGBoost baseline,0.9770618974801112,0.0,1.9399455027486017,0.0,32031305.334107716,0.0,0.2222654506574704,0.0,0.3143565737999943,0.0,1.5891477080294862,0.0,0.0,0.0,0.0,0.0,1
5000,TimeMixer only,1.0080155040243943,0.0,2.0339837357753305,0.0,31686348.22610949,0.0,0.4377323448818139,0.0,0.4614265720039761,0.0,8.002950542024337,0.0,-96.94124461853318,0.0,4.847467771310652,0.0,1
5000,Hybrid TimeMixer + XGBoost,0.9766043090524306,0.0,1.9299601988210715,0.0,31925758.721272778,0.0,0.2203429507327887,0.0,0.3052581007397093,0.0,10.00097450008616,0.0,0.8649567078440902,0.0,-0.5147208472290751,0.0,1
5000,Hybrid + Stability Objective (lambda=0.05),0.9800568318576705,0.0,1.94419304427792,0.0,32105331.68989548,0.0,0.211502604066884,0.0,0.3037325860495469,0.0,10.341027166927232,0.0,4.842338995444131,0.0,0.2189515903049998,0.0,1
