method,lambda,total_loss_proxy,mae,rmse,mape,fss,forecast_volatility
stability_objective_lambda_0,0.0,1.417780127405666,0.9692180421735559,1.1907057266200016,52217931.98230392,0.278732998503579,0.4066556425114677
stability_objective_lambda_0.01,0.01,1.4694958255948258,0.9614061627004827,1.2109717090152434,52326845.07310764,0.3043345559526373,0.4508155240883619
stability_objective_lambda_0.05,0.05,1.4280171387533074,0.9654590653521674,1.1893437590915958,51521492.53135397,0.26957122926358823,0.42791401222877506
stability_objective_lambda_0.1,0.1,1.4593139995124578,0.9471206535186086,1.196845699498347,49806743.40128659,0.26874371104770234,0.40658282028535553
stability_objective_lambda_0.5,0.5,1.4727377084981057,0.8917178077357156,1.1541078221932228,43714600.848047845,0.28154568650104383,0.3532526342991593
